sheet,group_id,series_a_name,series_b_name,start_x,end_x,length,A_trend,B_trend,trend_relation,A_start,A_end,B_start,B_end,A_slope,B_slope,direction_relative_error,slope_gap_norm,pearson_corr,similarity_score,similarity_level
Sheet2,3,Y-A,Y-B,11,13,3,升,升,A升B升,72.0,74.0,55.0,67.0,1.0,6.0,0.8333,0.4167,0.9449,0.6847,medium
Sheet2,4,Y-A,Y-B,14,51,38,降,平,A降B平,73.0,70.0,69.0,69.0,-0.0811,0.0,1.0,0.027,-0.4754,0.2695,low
Sheet2,5,Y-A,Y-B,52,65,14,升,降,A升B降,69.0,70.0,69.0,67.0,0.0769,-0.1538,1.0,0.1154,-0.1305,0.2646,low
Sheet2,6,Y-A,Y-B,66,66,1,平,平,A平B平,74.0,74.0,70.0,70.0,0.0,0.0,0.0,0.0,,0.6,medium
Sheet2,7,Y-A,Y-B,67,113,47,升,升,A升B升,92.0,105.0,85.0,86.0,0.2826,0.0217,0.9231,0.0201,0.6526,0.7468,medium
Sheet2,8,Y-A,Y-B,114,114,1,平,平,A平B平,90.0,90.0,74.0,74.0,0.0,0.0,0.0,0.0,,0.6,medium
Sheet2,9,Y-A,Y-B,115,130,16,平,降,A平B降,64.0,64.0,56.0,45.0,0.0,-0.7333,1.0,0.0667,-0.1478,0.2759,low
Sheet2,10,Y-A,Y-B,131,133,3,升,降,A升B降,65.0,67.0,44.0,43.0,1.0,-0.5,1.0,0.75,-0.866,0.0692,low
Sheet2,11,Y-A,Y-B,134,142,9,升,升,A升B升,27.0,66.0,22.0,59.0,4.875,4.625,0.0513,0.0064,0.9774,0.9844,high
Sheet2,12,Y-A,Y-B,143,155,13,升,降,A升B降,68.0,69.0,59.0,55.0,0.0833,-0.3333,1.0,0.1042,0.4075,0.2943,low
Sheet2,13,Y-A,Y-B,156,158,3,升,升,A升B升,70.0,73.0,56.0,59.0,1.5,1.5,0.0,0.0,1.0,1.0,high
Sheet2,14,Y-A,Y-B,159,173,15,升,升,A升B升,59.0,68.0,43.0,49.0,0.6429,0.4286,0.3333,0.0238,0.9385,0.9076,high
Sheet2,15,Y-A,Y-B,174,178,5,升,升,A升B升,77.5,104.0,50.0,62.0,6.625,3.0,0.5472,0.1368,0.993,0.8287,high
Sheet2,16,Y-A,Y-B,179,210,32,降,升,A降B升,103.0,94.0,64.0,94.0,-0.2903,0.9677,1.0,0.0419,-0.803,0.2494,low
Sheet2,17,Y-A,Y-B,211,231,21,升,降,A升B降,93.0,95.0,94.0,88.0,0.1,-0.3,1.0,0.0667,0.0088,0.2838,low
Sheet2,18,Y-A,Y-B,232,245,14,降,降,A降B降,83.0,79.0,80.0,77.0,-0.3077,-0.2308,0.25,0.0192,0.7823,0.9218,high
Sheet2,19,Y-A,Y-B,246,252,7,降,降,A降B降,58.5,54.0,58.0,57.0,-0.75,-0.1667,0.7778,0.1296,0.7545,0.7609,high
Sheet2,20,Y-A,Y-B,253,266,14,降,降,A降B降,55.0,22.0,56.0,21.0,-2.5385,-2.6923,0.0571,0.0044,0.9926,0.9843,high
